ticker,quarter,date_parsed,word_count,sentence_count,avg_sentence_length,flesch_kincaid_grade,numeric_density,negative_count,uncertainty_count,litigious_count,forward_looking_count,word_count_zscore,sentence_count_zscore,avg_sentence_length_zscore,flesch_kincaid_grade_zscore,numeric_density_zscore,negative_count_zscore,uncertainty_count_zscore,litigious_count_zscore,forward_looking_count_zscore,excess_return_1d,excess_return_3d,excess_return_5d,y_1d,y_3d,y_5d
AMZN,2020-Q2,2020-07-30,6239,362,17.234806629834253,9.154537877459152,9.616925789389326,29,74,5,34,-0.1391469744114934,0.6289377015241929,-1.1464872043114398,-1.7273929000968784,-1.6326209859765384,-0.2404814448168609,1.392888681268506,0.4827976027072381,-0.6874628859001182,0.0290587029525108,0.0096611717687053,0.0247157737911635,0,0,0
AMZN,2020-Q4,2021-02-02,6738,349,19.30659025787965,9.917817503981532,17.661027010982487,24,56,3,40,0.5490030774352409,0.1670060563369323,0.9161445079410988,0.2605935402977672,0.8218411294270547,-0.9919859598695506,-0.0906613934553466,-0.3218650684714919,0.0116519133203411,-0.0207477076143075,-0.024384342994977,-0.0449913248282941,1,1,1
AMZN,2021-Q1,2021-04-29,5657,302,18.7317880794702,10.012013640639136,14.49531553827117,17,45,2,29,-0.941758858529328,-1.5030545070323948,0.3438814658889083,0.5059304206571544,-0.1440988387586695,-2.044092280943316,-0.997275328008812,-0.724196404060857,-1.2700585519171674,0.0054499993855659,-0.0353608767066734,-0.0451584261941844,0,1,1
AMZN,2021-Q2,2021-07-29,6248,340,18.376470588235293,9.413444081336236,16.48527528809219,27,56,5,34,-0.1267354504302898,-0.1527927749465558,-0.0098664426369284,-1.0530633297050158,0.463089047440798,-0.5410832508379367,-0.0906613934553466,0.4827976027072381,-0.6874628859001182,-0.0707925512614554,-0.0660473135923891,-0.0647232975355604,1,1,1
AMZN,2021-Q3,2021-10-28,7088,378,18.75132275132275,9.83841379594189,12.697516930022571,33,45,3,38,1.0316734544820485,1.1974689571392831,0.3633298451048073,0.0537840180535159,-0.6926534197510691,0.3607221672252908,-0.997275328008812,-0.3218650684714919,-0.2213863530864786,-0.0235404644531382,-0.0466382953778389,-0.0099135185176578,1,1,1
AMZN,2021-Q4,2022-02-03,6812,377,18.06896551724138,9.7466235159417,15.854374633000589,35,54,2,36,0.6510533857251374,1.16193575366334,-0.3160131379406773,-0.1852867309350328,0.2705850356378537,0.6613239732463667,-0.2555002906468858,-0.724196404060857,-0.4544246194932984,0.1306567563529839,0.1528224374601036,0.1390923545764111,0,0,0
AMZN,2022-Q1,2022-04-28,5838,329,17.74468085106383,9.626380858132473,20.212401507365534,38,62,2,56,-0.6921493206851217,-0.5436580131819303,-0.6388653060920836,-0.4984626169086525,1.6003310900915304,1.1122266822779805,0.4038552981192708,-0.724196404060857,1.8759580445748991,-0.103538834206626,-0.113970602664419,-0.1622280369390582,1,1,1
AMZN,2022-Q2,2022-07-28,5956,329,18.103343465045597,10.252639510772664,17.797179314976493,35,51,4,53,-0.5294204507093409,-0.5436580131819303,-0.2817870515949567,1.1326482713786554,0.8633846981704644,0.6613239732463667,-0.5027586364341946,0.080466267117873,1.5264006449646697,0.0890358208782371,0.0922533594650494,0.1459833969286253,0,0,0
AMZN,2022-Q3,2022-10-27,5208,305,17.075409836065575,9.736348849892533,13.82488479262673,30,47,2,36,-1.5609559993693756,-1.3964548966045651,-1.3051798772373449,-0.2120474305208326,-0.34866449760056,-0.0901805418063229,-0.8324364308172729,-0.724196404060857,-0.4544246194932984,-0.0918332165934527,-0.1396514126130422,-0.1715988740790781,1,1,1
AMZN,2022-Q4,2023-02-02,7615,372,20.47043010752688,10.479416689401912,11.03086014445174,38,81,10,43,1.7584371364925275,0.9842697362836242,2.074843200878634,1.72329675777931,-1.2011932586808625,1.1122266822779805,1.969824821438893,2.4944542806540637,0.3612093129305708,-0.0736860488015048,-0.0918364342942876,-0.1066768231197628,1,1,1
BA,2019-Q2,2019-07-24,12792,618,20.699029126213592,11.72978875157197,20.55972482801751,60,98,34,141,1.5485650645636422,-0.3422473893646079,2.358753918501872,2.103164564484657,-0.3432953563817743,-0.0542077085454492,0.9199678637924764,2.447216096329287,1.5129675346489582,-0.0321318870340363,-0.0587776132198302,-0.0427246961940838,1,1,1
BA,2021-Q1,2021-04-28,12222,686,17.816326530612244,10.11517307533881,17.263950253640978,62,79,15,135,1.167752122652349,0.8755165774443475,0.7662004699199992,0.7379724201763996,-1.4508052388693229,0.108415417090899,-0.4132059049237391,-0.1044543455750306,1.2646385168038403,-0.0043342666907811,-0.0030633517355437,-0.0269652067668876,1,0,1
BA,2021-Q2,2021-07-28,12194,761,16.02365308804205,9.386134031530425,18.12366737739872,46,112,16,128,1.1490455219970577,2.2186385996601072,-0.2241647094441755,0.1215542903690896,-1.1619064719123666,-1.1925695879998877,1.9023064302149515,0.0298440987357229,0.9749213293178698,-0.0038882362820746,-0.0240775926468619,-0.0216744159682423,1,1,1
BA,2021-Q3,2021-10-27,9731,592,16.4375,9.820050314932391,24.25238927140068,42,88,16,105,-0.4964672427880563,-0.807863023732738,0.0044656486889381,0.4884398038120157,0.8975851320936515,-1.5178158392725842,0.2182974592049946,0.0298440987357229,0.0229934275782517,-0.0036472363898728,0.0251371134363248,0.0090193648381079,1,0,0
BA,2021-Q4,2022-01-26,9691,619,15.65589660743134,8.817728465158773,22.598287070477763,75,85,11,91,-0.5231909580099015,-0.3243390957350645,-0.4273323384353105,-0.3590447930003995,0.3417417353974181,1.1654657337271632,0.00779633782875,-0.6416481228180448,-0.5564409473936898,-0.0183284955709136,-0.0074116491539529,0.0128946037003799,1,1,0
BA,2022-Q1,2022-04-27,9867,639,15.44131455399061,8.596738699937795,21.587108543630283,72,69,16,89,-0.4056066110337828,0.0338267768558047,-0.5458785213583284,-0.5458963737778416,0.001945979902024,0.9215310452726408,-1.114876309511221,0.0298440987357229,-0.6392172866753957,-0.0268131800581071,-0.0311875967957475,-0.0120048520604298,1,1,1
BA,2022-Q2,2022-07-27,9448,604,15.642384105960264,8.557866171603703,23.708721422523286,61,89,7,85,-0.6855375279826106,-0.5929635001782164,-0.4347973404960734,-0.5787639292538976,0.7148913519717618,0.0271038542727249,0.2884644996637427,-1.178841900061059,-0.8047699652388075,0.0066772469362813,0.0588951628295201,0.0341510679276603,0,0,0
BA,2022-Q3,2022-10-26,8660,579,14.956822107081177,8.31765108602086,19.7459584295612,76,78,13,75,-1.2119947178529595,-1.040670840916803,-0.8135371130961053,-0.7818709302630199,-0.6167528723580172,1.2467772965453374,-0.4833729453824873,-0.3730512341965378,-1.218651661647337,0.0499620061312039,0.0542089053799633,0.1205175494721354,0,0,0
BA,2022-Q4,2023-01-25,9662,636,15.19182389937107,7.8402130090412925,26.392051335127302,52,66,14,91,-0.5425656515457391,-0.0198981040328256,-0.683710014280828,-1.1855550525470044,1.616595740156619,-0.7047002110908426,-1.3253774308874655,-0.2387527898857842,-0.5564409473936898,-0.0107550349666728,-0.0147520000798787,-0.0163692420847381,1,1,1
BYND,2020-Q4,2021-02-25,13121,778,16.86503856041131,9.323914310197086,24.617026141300205,78,94,4,63,1.579247093884638,2.0460443639251533,-1.4298967230424091,-1.4116427841942252,1.3448948403355931,0.1165735734348067,0.6482995193050903,-0.762706965541453,-0.74611449955767,0.0171874089508871,-0.0394637161267839,-0.0362659272024322,0,1,1
BYND,2021-Q1,2021-05-06,11651,644,18.091614906832294,9.848806358561289,23.08814694017681,55,74,5,70,0.3182513154976646,0.3025153034102373,-0.1359873356305934,-0.3660032936762908,0.8379029390378677,-0.8584054043835772,-0.9981754503586312,-0.4415671905766307,-0.438890882092747,-0.0771283934290651,-0.0673679669059479,-0.1262023446934907,1,1,1
BYND,2021-Q2,2021-08-05,11773,658,17.89209726443769,9.68665436387321,19.451286842775843,59,98,3,63,0.4229053869012094,0.4846750560013479,-0.3464575205497231,-0.6890269128004703,-0.3681168787347266,-0.6888438430238583,0.9775945132378346,-1.0838467405062753,-0.74611449955767,0.0152577358741851,0.0374018489921321,0.0139238131838557,0,0,0
