ticker,quarter,date_parsed,excess_return_1d,excess_return_3d,excess_return_5d,y_1d,y_3d,y_5d
BA,2019-Q2,2019-07-24,-0.03213188703403631,-0.05877761321983023,-0.04272469619408388,1,1,1
BA,2021-Q1,2021-04-28,-0.004334266690781164,-0.0030633517355437307,-0.026965206766887687,1,0,1
BA,2021-Q2,2021-07-28,-0.003888236282074649,-0.0240775926468619,-0.02167441596824237,1,1,1
BA,2021-Q3,2021-10-27,-0.0036472363898728995,0.02513711343632486,0.009019364838107918,1,0,0
BA,2021-Q4,2022-01-26,-0.018328495570913615,-0.0074116491539529435,0.012894603700379904,1,1,0
BA,2022-Q1,2022-04-27,-0.02681318005810719,-0.03118759679574757,-0.01200485206042982,1,1,1
BA,2022-Q2,2022-07-27,0.006677246936281392,0.05889516282952012,0.03415106792766035,0,0,0
BA,2022-Q3,2022-10-26,0.04996200613120391,0.05420890537996338,0.12051754947213544,0,0,0
BA,2022-Q4,2023-01-25,-0.010755034966672808,-0.014752000079878726,-0.01636924208473812,1,1,1
BYND,2020-Q4,2021-02-25,0.01718740895088712,-0.03946371612678391,-0.036265927202432234,0,1,1
BYND,2021-Q1,2021-05-06,-0.07712839342906516,-0.06736796690594794,-0.1262023446934907,1,1,1
BYND,2021-Q2,2021-08-05,0.015257735874185135,0.03740184899213216,0.013923813183855768,0,0,0
BYND,2021-Q3,2021-11-10,-0.1331558097170711,-0.12104605670611522,-0.1580347539886094,1,1,1
BYND,2021-Q4,2022-02-24,-0.11410472735293561,-0.03616747491446425,-0.0701579535164279,1,1,1
BYND,2022-Q1,2022-05-11,-0.040606589702371236,0.022197854530814153,0.011819022163075479,1,0,0
BYND,2022-Q2,2022-08-04,0.22054952861186614,0.187121008675225,0.15383577185348207,0,0,0
BYND,2022-Q3,2022-11-09,0.14639950702679752,0.2586174347575659,0.16890253142649359,0,0,0
COST,2020-Q1,2019-12-12,-0.018995349683749663,-0.013714127367725114,-0.0240959610223552,1,1,1
COST,2020-Q2,2020-03-05,0.0025332925295490846,0.02627743544739034,0.06596761761880081,0,0,0
COST,2021-Q2,2021-03-04,-0.02378786444929606,-0.028608879069692627,-0.014555645483278683,1,1,1
COST,2021-Q3,2021-05-27,-0.025608239691407342,-0.0203127365542475,-0.007842774914068587,1,1,1
COST,2021-Q4,2021-09-23,0.03141509697366065,0.009353008175898027,0.024104738442299743,0,0,0
COST,2022-Q1,2021-12-09,0.05636589306845099,0.04648196214983644,0.05375930892651407,0,0,0
COST,2022-Q2,2022-03-03,-0.0060391675165124125,0.026483862350472537,0.022859446827946484,1,0,0
COST,2022-Q3,2022-05-26,-0.012140256218170813,-0.027764552729912552,0.011311895720778668,1,1,0
COST,2022-Q4,2022-09-22,-0.025879199854497253,0.010759671937833708,0.01373196575228744,1,0,0
COST,2023-Q1,2022-12-08,0.010793539443530384,-0.00037793645493093553,-0.019689876360434063,0,0,1
CVX,2020-Q4,2021-01-29,-0.002443340546412291,0.012300105441103888,-1.3936767153693852e-05,0,0,0
CVX,2021-Q1,2021-04-30,0.02171033127644292,0.060860005731953826,0.055879407526378856,0,0,0
CVX,2021-Q2,2021-07-30,0.00033012228358846713,-0.01590305295020812,-0.0077011761712035085,0,1,1
CVX,2021-Q3,2021-10-29,-0.0013707521500401696,-0.02483740927474773,-0.018023136303175123,0,1,1
CVX,2021-Q4,2022-01-28,-0.012498561041061567,0.0019050191329344213,0.02507592021246985,1,0,0
CVX,2022-Q1,2022-04-29,0.013639699045484292,0.028293024696370864,0.09108941082147111,0,0,0
CVX,2022-Q2,2022-07-29,-0.017004589230782536,-0.05738138251067207,-0.06550476729633156,1,1,1
